venue,title,authors,abstract,year,link,doi,pages,rank,peer_reviewed,area,gpt_confidence,gpt_note,file,original,type,publisher,acronym
AAAI Conference on Artificial Intelligence,A Recursive Scenario Decomposition Algorithm for Combinatorial Multistage Stochastic Optimisation Problems,David Hemmi;Guido Tack;Mark Wallace,"Stochastic programming is concerned with decision making under uncertainty, seeking an optimal policy with respect to a set of possible future scenarios. This paper looks at multistage decision problems where the uncertainty is revealed over time. First, decisions are made with respect to all possible future scenarios. Secondly, after observing the random variables, a set of scenario specific decisions is taken. Our goal is to develop algorithms that can be used as a back-end solver for high-level modeling languages. In this paper we propose a scenario decomposition method to solve multistage stochastic combinatorial decision problems recursively. Our approach is applicable to general problem structures, utilizes standard solving technology and is highly parallelizable. We provide experimental results to show how it efficiently solves benchmarks with hundreds of scenarios.",2018,https://ojs.aaai.org/index.php/AAAI/article/view/11525,10.1609/aaai.v32i1.11525,NA,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Heuristic Search and Optimization,AAAI,NA
AAAI Conference on Artificial Intelligence,A Risk-Sensitive Approach to Policy Optimization,Jared Markowitz;Ryan W. Gardner;Ashley Llorens;Raman Arora;I-Jeng Wang,"Standard deep reinforcement learning( DRL) aims to maximize expected reward, considering collected experiences equally in formulating a policy. This differs from human decision-making, where gains and losses are valued differently and outlying outcomes are given increased consideration. It also fails to capitalize on opportunities to improve safety and/or performance through the incorporation of distributional context. Several approaches to distributional DRL have been investigated, with one popular strategy being to evaluate the projected distribution of returns for possible actions. We propose a more direct approach whereby risk-sensitive objectives, specified in terms of the cumulative distribution function( CDF) of the distribution of full-episode rewards, are optimized. This approach allows for outcomes to be weighed based on relative quality, can be used for both continuous and discrete action spaces, and may naturally be applied in both constrained and unconstrained settings. We show how to compute an asymptotically consistent estimate of the policy gradient for a broad class of risk-sensitive objectives via sampling, subsequently incorporating variance reduction and regularization measures to facilitate effective on-policy learning. We then demonstrate that the use of moderately pessimistic risk profiles, which emphasize scenarios where the agent performs poorly, leads to enhanced exploration and a continual focus on addressing deficiencies. We test the approach using different risk profiles in six OpenAI Safety Gym environments, comparing to state of the art on-policy methods. Without cost constraints, we find that pessimistic risk profiles can be used to reduce cost while improving total reward accumulation. With cost constraints, they are seen to provide higher positive rewards than risk-neutral approaches at the prescribed allowable cost.",2023,https://ojs.aaai.org/index.php/AAAI/article/view/26753,10.1609/aaai.v37i12.26753,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Special Track on Safe and Robust AI,AAAI,NA
AAAI Conference on Artificial Intelligence,A Sample-Efficient Algorithm for Episodic Finite-Horizon MDP with Constraints,Krishna C. Kalagarla;Rahul Jain;Pierluigi Nuzzo,"Constrained Markov decision processes( CMDPs) formalize sequential decision-making problems whose objective is to minimize a cost function while satisfying constraints on various cost functions. In this paper, we consider the setting of episodic fixed-horizon CMDPs. We propose an online algorithm which leverages the linear programming formulation of repeated optimistic planning for finite-horizon CMDP to provide a probably approximately correctness( PAC) guarantee on the number of episodes needed to ensure a near optimal policy, i. e. , with resulting objective value close to that of the optimal value and satisfying the constraints within low tolerance, with high probability. The number of episodes needed is shown to have linear dependence on the sizes of the state and action spaces and quadratic dependence on the time horizon and an upper bound on the number of possible successor states for a state-action pair. Therefore, if the upper bound on the number of possible successor states is much smaller than the size of the state space, the number of needed episodes becomes linear in the sizes of the state and action spaces and quadratic in the time horizon.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/16979,10.1609/aaai.v35i9.16979,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Machine Learning II,AAAI,NA
AAAI Conference on Artificial Intelligence,A Scalable Framework to Choose Sellers in E-Marketplaces Using POMDPs,Athirai Irissappane;Frans A. Oliehoek;Jie Zhang,"In multiagent e-marketplaces, buying agents need to select good sellers by querying other buyers( called advisors). Partially Observable Markov Decision Processes( POMDPs) have shown to be an effective framework for optimally selecting sellers by selectively querying advisors. However, current solution methods do not scale to hundreds or even tens of agents operating in the e-market. In this paper, we propose the Mixture of POMDP Experts( MOPE) technique, which exploits the inherent structure of trust-based domains, such as the seller selection problem in e-markets, by aggregating the solutions of smaller sub-POMDPs. We propose a number of variants of the MOPE approach that we analyze theoretically and empirically. Experiments show that MOPE can scale up to a hundred agents thereby leveraging the presence of more advisors to significantly improve buyer satisfaction.",2016,https://ojs.aaai.org/index.php/AAAI/article/view/9995,10.1609/aaai.v30i1.9995,NA,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,Technical Papers: AI and the Web,AAAI,NA
AAAI Conference on Artificial Intelligence,A Scalable Two Stage Approach to Computing Optimal Decision Sets,Alexey Ignatiev;Edward Lam;Peter J. Stuckey;Joao Marques-Silva,"Machine learning( ML) is ubiquitous in modern life. Since it is being deployed in technologies that affect our privacy and safety, it is often crucial to understand the reasoning behind its decisions, warranting the need for explainable AI. Rule-based models, such as decision trees, decision lists, and decision sets, are conventionally deemed to be the most interpretable. Recent work uses propositional satisfiability( SAT) solving( and its optimization variants) to generate minimum-size decision sets. Motivated by limited practical scalability of these earlier methods, this paper proposes a novel approach to learn minimum-size decision sets by enumerating individual rules of the target decision set independently of each other, and then solving a set cover problem to select a subset of rules. The approach makes use of modern maximum satisfiability and integer linear programming technologies. Experiments on a wide range of publicly available datasets demonstrate the advantage of the new approach over the state of the art in SAT-based decision set learning.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/16498,10.1609/aaai.v35i5.16498,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Constraint Satisfaction and Optimization,AAAI,NA
AAAI Conference on Artificial Intelligence,A Semi-parametric Model for Decision Making in High-Dimensional Sensory Discrimination Tasks,Stephen Keeley;Benjamin Letham;Craig Sanders;Chase Tymms;Michael Shvartsman,"Psychometric functions typically characterize binary sensory decisions along a single stimulus dimension. However, real-life sensory tasks vary along a greater variety of dimensions( e. g. color, contrast and luminance for visual stimuli). Approaches to characterizing high-dimensional sensory spaces either require strong parametric assumptions about these additional contextual dimensions, or fail to leverage known properties of classical psychometric curves. We overcome both limitations by introducing a semi-parametric model of sensory discrimination that applies traditional psychophysical models along a stimulus intensity dimension, but puts Gaussian process( GP) priors on the parameters of these models with respect to the remaining dimensions. By combining the flexibility of the GP with the deep literature on parametric psychophysics, our semi-parametric models achieve good performance with much less data than baselines on both synthetic and real-world, high-dimensional psychophysics datasets. We additionally show strong performance in a Bayesian active learning setting, and present a novel active learning paradigm for the semi-parametric model.",2023,https://ojs.aaai.org/index.php/AAAI/article/view/25074,10.1609/aaai.v37i1.25074,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Cognitive Modeling & Cognitive Systems,AAAI,NA
AAAI Conference on Artificial Intelligence,A Sequential Decision Approach to Ordinal Preferences in Recommender Systems,Truyen Tran;Dinh Phung;Svetha Venkatesh,"We propose a novel sequential decision approach to modeling ordinal ratings in collaborative filtering problems. The rating process is assumed to start from the lowest level, evaluates against the latent utility at the corresponding level and moves up until a suitable ordinal level is found. Crucial to this generative process is the underlying utility random variables that govern the generation of ratings and their modelling choices. To this end, we make a novel use of the generalised extreme value distributions, which is found to be particularly suitable for our modeling tasks and at the same time, facilitate our inference and learning procedure. The proposed approach is flexible to incorporate features from both the user and the item. We evaluate the proposed framework on three well-known datasets: MovieLens, Dating Agency and Netflix. In all cases, it is demonstrated that the proposed work is competitive against state-of-the-art collaborative filtering methods.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/8201,10.1609/aaai.v26i1.8201,7,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,Knowledge-Based Information Systems,AAAI,NA
AAAI Conference on Artificial Intelligence,A Sequentially Fair Mechanism for Multiple Sensitive Attributes,Francois Hu;Philipp Ratz;Arthur Charpentier,"In the standard use case of Algorithmic Fairness, the goal is to eliminate the relationship between a sensitive variable and a corresponding score. Throughout recent years, the scientific community has developed a host of definitions and tools to solve this task, which work well in many practical applications. However, the applicability and effectivity of these tools and definitions becomes less straightfoward in the case of multiple sensitive attributes. To tackle this issue, we propose a sequential framework, which allows to progressively achieve fairness across a set of sensitive features. We accomplish this by leveraging multi-marginal Wasserstein barycenters, which extends the standard notion of Strong Demographic Parity to the case with multiple sensitive characteristics. This method also provides a closed-form solution for the optimal, sequentially fair predictor, permitting a clear interpretation of inter-sensitive feature correlations. Our approach seamlessly extends to approximate fairness, enveloping a framework accommodating the trade-off between risk and unfairness. This extension permits a targeted prioritization of fairness improvements for a specific attribute within a set of sensitive attributes, allowing for a case specific adaptation. A data-driven estimation procedure for the derived solution is developed, and comprehensive numerical experiments are conducted on both synthetic and real datasets. Our empirical findings decisively underscore the practical efficacy of our post-processing approach in fostering fair decision-making.",2024,https://ojs.aaai.org/index.php/AAAI/article/view/29143,10.1609/aaai.v38i11.29143,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Machine Learning II,AAAI,NA
AAAI Conference on Artificial Intelligence,A Sharp Leap from Quantified Boolean Formula to Stochastic Boolean Satisfiability Solving,Pei-Wei Chen;Yu-Ching Huang;Jie-Hong R. Jiang,"Stochastic Boolean Satisfiability( SSAT) is a powerful representation for the concise encoding of quantified decision problems with uncertainty. While it shares commonalities with quantified Boolean formula( QBF) satisfiability and has the same PSPACE-complete complexity, SSAT solving tends to be more challenging as it involves expensive model counting, a. k. a. Sharp-SAT. To date, SSAT solvers, especially those imposing no restrictions on quantification levels, remain much lacking. In this paper, we present a new SSAT solver based on the framework of clause selection and cube distribution previously proposed for QBF solving. With model counting integrated and learning techniques strengthened, our solver is general and effective. Experimental results demonstrate the overall superiority of the proposed algorithm in both solving performance and memory usage compared to the state-of-the-art solvers on a number of benchmark formulas.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/16486,10.1609/aaai.v35i5.16486,10,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Constraint Satisfaction and Optimization,AAAI,NA
AAAI Conference on Artificial Intelligence,A Simulation-Based Evaluation Framework for Interactive AI Systems and Its Application,Maeda F. Hanafi;Yannis Katsis;Martín Santillán Cooper;Yunyao Li,"Interactive AI( IAI) systems are increasingly popular as the human-centered AI design paradigm is gaining strong traction. However, evaluating IAI systems, a key step in building such systems, is particularly challenging, as their output highly depends on the performed user actions. Developers often have to rely on limited and mostly qualitative data from ad-hoc user testing to assess and improve their systems. In this paper, we present InteractEva; a systematic evaluation framework for IAI systems. We also describe how we have applied InteractEva to evaluate a commercial IAI system, leading to both quality improvements and better data-driven design decisions.",2022,https://ojs.aaai.org/index.php/AAAI/article/view/21541,10.1609/aaai.v36i11.21541,7,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,IAAI Technical Track on Innovative Tools for Enabling AI Application,AAAI,NA
AAAI Conference on Artificial Intelligence,A Submodular Optimization Approach to Accountable Loan Approval,Kyungsik Lee;Hana Yoo;Sumin Shin;Wooyoung Kim;Yeonung Baek;Hyunjin Kang;Jaehyun Kim;Kee-Eung Kim,"In the field of finance, the underwriting process is an essential step in evaluating every loan application. During this stage, the borrowers creditworthiness and ability to repay the loan are assessed to ultimately decide whether to approve the loan application. One of the core components of underwriting is credit scoring, in which the probability of default is estimated. As such, there has been significant progress in enhancing the predictive accuracy of credit scoring models through the use of machine learning, but there still exists a need to ultimately construct an approval rule that takes into consideration additional criteria beyond the score itself. This construction process is traditionally done manually to ensure that the approval rule remains interpretable to humans. In this paper, we outline an automated system for optimizing a rule-based system for approving loan applications, which has been deployed at Hyundai Capital Services( HCS). The main challenge lay in creating a high-quality rule base that is simultaneously simple enough to be interpretable by risk analysts as well as customers, since the approval decision should be accountable. We addressed this challenge through principled submodular optimization. The deployment of our system has led to a 14% annual growth in the volume of loan services at HCS, while maintaining the target bad rate, and has resulted in the approval of customers who might have otherwise been rejected.",2024,https://ojs.aaai.org/index.php/AAAI/article/view/30310,10.1609/aaai.v38i21.30310,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,IAAI Technical Track on Deployed Highly Innovative Applications of AI,AAAI,NA
AAAI Conference on Artificial Intelligence,A Surprisingly Simple Continuous-Action POMDP Solver: Lazy Cross-Entropy Search Over Policy Trees,Marcus Hoerger;Hanna Kurniawati;Dirk Kroese;Nan Ye,"The Partially Observable Markov Decision Process( POMDP) provides a principled framework for decision making in stochastic partially observable environments. However, computing good solutions for problems with continuous action spaces remains challenging. To ease this challenge, we propose a simple online POMDP solver, called Lazy Cross-Entropy Search Over Policy Trees( LCEOPT). At each planning step, our method uses a novel lazy Cross-Entropy method to search the space of policy trees, which provide a simple policy representation. Specifically, we maintain a distribution on promising finite-horizon policy trees. The distribution is iteratively updated by sampling policies, evaluating them via Monte Carlo simulation, and refitting them to the top-performing ones. Our method is lazy in the sense that it exploits the policy tree representation to avoid redundant computations in policy sampling, evaluation, and distribution update. This leads to computational savings of up to two orders of magnitude. Our LCEOPT is surprisingly simple as compared to existing state-of-the-art methods, yet empirically outperforms them on several continuous-action POMDP problems, particularly for problems with higher-dimensional action spaces.",2024,https://ojs.aaai.org/index.php/AAAI/article/view/29992,10.1609/aaai.v38i18.29992,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,"AAAI Technical Track on Planning, Routing, and Scheduling",AAAI,NA
AAAI Conference on Artificial Intelligence,A Symbolic SAT-Based Algorithm for Almost-Sure Reachability with Small Strategies in POMDPs,Krishnendu Chatterjee;Martin Chmelík;Jessica Davies,"POMDPs are standard models for probabilistic planning problems, where an agent interacts with an uncertain environment. We study the problem of almost-sure reachability, where given a set of target states, the question is to decide whether there is a policy to ensure that the target set is reached with probability 1( almost-surely). While in general the problem is EXPTIME-complete, in many practical cases policies with a small amount of memory suffice. Moreover, the existing solution to the problem is explicit, which first requires to construct explicitly an exponential reduction to a belief-support MDP. In this work, we first study the existence of observation-stationary strategies, which is NP-complete, and then small-memory strategies. We present a symbolic algorithm by an efficient encoding to SAT and using a SAT solver for the problem. We report experimental results demonstrating the scalability of our symbolic( SAT-based) approach.",2016,https://ojs.aaai.org/index.php/AAAI/article/view/10422,10.1609/aaai.v30i1.10422,NA,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,Technical Papers: Reasoning under Uncertainty,AAAI,NA
AAAI Conference on Artificial Intelligence,A System for Medical Information Extraction and Verification from Unstructured Text,Damir Juric;Giorgos Stoilos;Andre Melo;Jonathan Moore;Mohammad Khodadadi,"A wealth of medical knowledge has been encoded in terminologies like SNOMED CT, NCI, FMA, and more. However, these resources are usually lacking information like relations between diseases, symptoms, and risk factors preventing their use in diagnostic or other decision making applications. In this paper we present a pipeline for extracting such information from unstructured text and enriching medical knowledge bases. Our approach uses Semantic Role Labelling and is unsupervised. We show how we dealt with several deficiencies of SRL-based extraction, like copula verbs, relations expressed through nouns, and assigning scores to extracted triples. The system have so far extracted about 120K relations and in-house doctors verified about 5k relationships. We compared the output of the system with a manually constructed network of diseases, symptoms and risk factors build by doctors in the course of a year. Our results show that our pipeline extracts good quality and precise relations and speeds up the knowledge acquisition process considerably.",2020,https://ojs.aaai.org/index.php/AAAI/article/view/7042,10.1609/aaai.v34i08.7042,6,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,IAAI Technical Track: Emerging Papers,AAAI,NA
AAAI Conference on Artificial Intelligence,A Unified Knowledge Transfer Network for Generalized Category Discovery,Wenkai Shi;Wenbin An;Feng Tian;Yan Chen;Yaqiang Wu;Qianying Wang;Ping Chen,"Generalized Category Discovery( GCD) aims to recognize both known and novel categories in an unlabeled dataset by leveraging another labeled dataset with only known categories. Without considering knowledge transfer from known to novel categories, current methods usually perform poorly on novel categories due to the lack of corresponding supervision. To mitigate this issue, we propose a unified Knowledge Transfer Network( KTN) , which solves two obstacles to knowledge transfer in GCD. First, the mixture of known and novel categories in unlabeled data makes it difficult to identify transfer candidates( i. e. , samples with novel categories). For this, we propose an entropy-based method that leverages knowledge in the pre-trained classifier to differentiate known and novel categories without requiring extra data or parameters. Second, the lack of prior knowledge of novel categories presents challenges in quantifying semantic relationships between categories to decide the transfer weights. For this, we model different categories with prototypes and treat their similarities as transfer weights to measure the semantic similarities between categories. On the basis of two treatments, we transfer knowledge from known to novel categories by conducting pre-adjustment of logits and post-adjustment of labels for transfer candidates based on the transfer weights between different categories. With the weighted adjustment, KTN can generate more accurate pseudo-labels for unlabeled data, which helps to learn more discriminative features and boost model performance on novel categories. Extensive experiments show that our method outperforms state-of-the-art models on all evaluation metrics across multiple benchmark datasets. Furthermore, different from previous clustering-based methods that can only work offline with abundant data, KTN can be deployed online conveniently with faster inference speed. Code and data are available at https://github. com/yibai-shi/KTN.",2024,https://ojs.aaai.org/index.php/AAAI/article/view/29862,10.1609/aaai.v38i17.29862,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Natural Language Processing II,AAAI,NA
AAAI Conference on Artificial Intelligence,A Unified Taylor Framework for Revisiting Attribution Methods,Huiqi Deng;Na Zou;Mengnan Du;Weifu Chen;Guocan Feng;Xia Hu,"Attribution methods have been developed to understand the decision making process of machine learning models, especially deep neural networks, by assigning importance scores to individual features. Existing attribution methods often built upon empirical intuitions and heuristics. There still lacks a general and theoretical framework that not only can unify these attribution methods, but also theoretically reveal their rationales, fidelity, and limitations. To bridge the gap, in this paper, we propose a Taylor attribution framework and reformulate seven mainstream attribution methods into the framework. Based on reformulations, we analyze the attribution methods in terms of rationale, fidelity, and limitation. Moreover, We establish three principles for a good attribution in the Taylor attribution framework, i. e. , low approximation error, correct contribution assignment, and unbiased baseline selection. Finally, we empirically validate the Taylor reformulations, and reveal a positive correlation between the attribution performance and the number of principles followed by the attribution method via benchmarking on real-world datasets.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/17365,10.1609/aaai.v35i13.17365,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Philosophy and Ethics of AI,AAAI,NA
AAAI Conference on Artificial Intelligence,A Universal 2-state n-action Adaptive Management Solver,Luz Valerie Pascal;Marianne Akian;Sam Nicol;Iadine Chades,"In poor data and urgent decision-making applications, managers need to make decisions without complete knowledge of the system dynamics. In biodiversity conservation, adaptive management( AM) is the principal tool for decision-making under uncertainty. AM can be solved using simplified Mixed Observable Markov Decision Processes called hidden model MDPs( hmMDPs) when the unknown dynamics are assumed stationary. hmMDPs provide optimal policies to AM problems by augmenting the MDP state space with an unobservable state variable representing a finite set of predefined models. A drawback in formalising an AM problem is that experts are often solicited to provide this predefined set of models by specifying the transition matrices. Expert elicitation is a challenging and time-consuming process that is prone to biases, and a key assumption of hmMDPs is that the true transition matrix will be included in the candidate model set. We propose an original approach to build a hmMDP with a universal set of predefined models that is capable of solving any 2-state n-action AM problem. Our approach uses properties of the transition matrices to build the model set and is independent of expert input, removing the potential for expert error in the optimal solution. We provide analytical formulations to derive the minimum set of models to include into an hmMDP to solve any AM problems with 2 states and n actions. We assess our universal AM algorithm on two species conservation case studies from Australia and randomly generated problems.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/17747,10.1609/aaai.v35i17.17747,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Special Track on AI for Social Impact,AAAI,NA
AAAI Conference on Artificial Intelligence,A User-Adaptive Layer Selection Framework for Very Deep Sequential Recommender Models,Lei Chen;Fajie Yuan;Jiaxi Yang;Xiang Ao;Chengming Li;Min Yang,"Sequential recommender systems( SRS) have become a research hotspot in recent studies. Because of the requirement in capturing users dynamic interests, sequential neural network based recommender models often need to be stacked with more hidden layers( e. g. , up to 100 layers) compared with standard collaborative filtering methods. However, the high network latency has become the main obstacle when deploying very deep recommender models into a production environment. In this paper, we argue that the typical prediction framework that treats all users equally during the inference phase is inefficient in running time, as well as sub-optimal in accuracy. To resolve such an issue, we present SkipRec, an adaptive inference framework by learning to skip inactive hidden layers on a per-user basis. Specifically, we devise a policy network to automatically determine which layers should be retained and which layers are allowed to be skipped, so as to achieve user-specific decisions. To derive the optimal skipping policy, we propose using gumbel softmax and reinforcement learning to solve the non-differentiable problem during backpropagation. We perform extensive experiments on three real-world recommendation datasets, and demonstrate that SkipRec attains comparable or better accuracy with much less inference time.",2021,https://ojs.aaai.org/index.php/AAAI/article/view/16518,10.1609/aaai.v35i5.16518,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track on Data Mining and Knowledge Management,AAAI,NA
AAAI Conference on Artificial Intelligence,A Variational Perturbative Approach to Planning in Graph-Based Markov Decision Processes,Dominik Linzner;Heinz Koeppl,"Coordinating multiple interacting agents to achieve a common goal is a difficult task with huge applicability. This problem remains hard to solve, even when limiting interactions to be mediated via a static interaction-graph. We present a novel approximate solution method for multi-agent Markov decision problems on graphs, based on variational perturbation theory. We adopt the strategy of planning via inference, which has been explored in various prior works. We employ a non-trivial extension of a novel high-order variational method that allows for approximate inference in large networks and has been shown to surpass the accuracy of existing variational methods. To compare our method to two state-of-the-art methods for multi-agent planning on graphs, we apply the method different standard GMDP problems. We show that in cases, where the goal is encoded as a non-local cost function, our method performs well, while state-of-the-art methods approach the performance of random guess. In a final experiment, we demonstrate that our method brings significant improvement for synchronization tasks.",2020,https://ojs.aaai.org/index.php/AAAI/article/view/6210,10.1609/aaai.v34i05.6210,8,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Multiagent Systems,AAAI,NA
AAAI Conference on Artificial Intelligence,A Voting-Based System for Ethical Decision Making,Ritesh Noothigattu;Snehalkumar Gaikwad;Edmond Awad;Sohan Dsouza;Iyad Rahwan;Pradeep Ravikumar;Ariel Procaccia,"We present a general approach to automating ethical decisions, drawing on machine learning and computational social choice. In a nutshell, we propose to learn a model of societal preferences, and, when faced with a specific ethical dilemma at runtime, efficiently aggregate those preferences to identify a desirable choice. We provide a concrete algorithm that instantiates our approach; some of its crucial steps are informed by a new theory of swap-dominance efficient voting rules. Finally, we implement and evaluate a system for ethical decision making in the autonomous vehicle domain, using preference data collected from 1. 3 million people through the Moral Machine website.",2018,https://ojs.aaai.org/index.php/AAAI/article/view/11512,10.1609/aaai.v32i1.11512,NA,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Human-Computation and Crowd Sourcing,AAAI,NA
AAAI Conference on Artificial Intelligence,Abduction-Based Explanations for Machine Learning Models,Alexey Ignatiev;Nina Narodytska;Joao Marques-Silva,"The growing range of applications of Machine Learning( ML) in a multitude of settings motivates the ability of computing small explanations for predictions made. Small explanations are generally accepted as easier for human decision makers to understand. Most earlier work on computing explanations is based on heuristic approaches, providing no guarantees of quality, in terms of how close such solutions are from cardinalityor subset-minimal explanations. This paper develops a constraint-agnostic solution for computing explanations for any ML model. The proposed solution exploits abductive reasoning, and imposes the requirement that the ML model can be represented as sets of constraints using some target constraint reasoning system for which the decision problem can be answered with some oracle. The experimental results, obtained on well-known datasets, validate the scalability of the proposed approach as well as the quality of the computed solutions.",2019,https://ojs.aaai.org/index.php/AAAI/article/view/3964,10.1609/aaai.v33i01.33011511,9,top-tier,yes,artificial intelligence,0.9,"The AAAI Conference on Artificial Intelligence is a leading conference in AI. It is known for its rigorous peer review process and significant impact within the research community, helping to establish it as a top-tier venue.",aaai_venues.csv,Proceedings of the AAAI Conference on Artificial Intelligence,AAAI Technical Track: Constraint Satisfaction and Optimization,AAAI,NA
